Kota/Kabupaten,CURAH_HUJAN_RATA2_22_23,CURAH_HUJAN_RATA2_23_24,CURAH_HUJAN_RATA2_TAHUNAN
Kabupaten Bangkalan,1500.5,750.5,1125.5
Kabupaten Banyuwangi,1937.875,1000.5,1469.1875
Kabupaten Blitar,2167.0,1250.5,1708.75
Kabupaten Bojonegoro,1500.5,1000.5,1250.5
Kabupaten Bondowoso,2167.0,1250.5,1708.75
Kabupaten Gresik,1750.5,1000.5,1375.5
Kabupaten Jember,2167.0,1250.5,1708.75
Kabupaten Jombang,1750.5,1250.5,1500.5
Kabupaten Kediri,2167.0,1000.5,1583.75
Kota Batu,2250.5,1750.5,2000.5
Kota Blitar,2250.5,1250.5,1750.5
Kota Kediri,2250.5,1250.5,1750.5
Kota Madiun,2000.5,1000.5,1500.5
Kota Malang,2250.5,1750.5,2000.5
Kota Mojokerto,1750.5,1250.5,1500.5
Kota Pasuruan,1250.5,1250.5,1250.5
Kota Probolinggo,750.5,1250.5,1000.5
Kota Surabaya,1500.5,1000.5,1250.5
Kabupaten Lamongan,1500.5,1000.5,1250.5
Kabupaten Lumajang,2125.25,1375.5,1750.375
Kabupaten Madiun,2000.5,1000.5,1500.5
Kabupaten Magetan,2000.5,1000.5,1500.5
Kabupaten Malang,2167.0,1500.5,1833.75
Kabupaten Mojokerto,1833.6666666666667,1250.5,1542.0833333333335
Kabupaten Nganjuk,2000.5,1250.5,1625.5
Kabupaten Ngawi,2000.5,1250.5,1625.5
Kabupaten Pacitan,2375.25,1250.5,1812.875
Kabupaten Pamekasan,1250.5,750.5,1000.5
Kabupaten Pasuruan,1937.875,1500.5,1719.1875
Kabupaten Ponorogo,2167.0,1000.5,1583.75
Kabupaten Probolinggo,1562.875,1500.5,1531.6875
Kabupaten Sampang,1250.5,750.5,1000.5
Kabupaten Sidoarjo,1500.5,1000.5,1250.5
Kabupaten Situbondo,1250.5,1000.5,1125.5
Kabupaten Sumenep,1500.5,1000.5,1250.5
Kabupaten Trenggalek,2167.0,1000.5,1583.75
Kabupaten Tuban,1250.5,1000.5,1125.5
Kabupaten Tulungagung,2125.25,1000.5,1562.875
