b_intercept,b_hujan,b_miskin,b_kepadatan,Kabupaten,y_hat,residual,kategori,cluster
26.485156431800444,5.389170093342553,2.142979273951215,5.965058396512004,Kabupaten Pacitan,30.4352096996172,9.5647903003828,Normal,0
26.43843494500069,5.046617398363319,1.9032560616497456,5.473155361881895,Kabupaten Ponorogo,24.564189203849473,-12.564189203849473,Normal,0
26.4142521773188,4.795875900314318,1.5171463229955267,5.30275645946656,Kabupaten Trenggalek,24.81403195435907,-6.81403195435907,Normal,0
26.404193860827426,4.5169933928267945,1.2457306741958565,5.015190525281274,Kabupaten Tulungagung,24.161685729859688,-4.161685729859688,Normal,0
26.409774388266317,4.7015347549114495,1.395601718645202,5.225447215263566,Kabupaten Blitar,26.71534447979086,-6.715344479790861,Normal,0
26.39294322207043,4.306667328264182,1.2066453063578182,4.688887654570714,Kabupaten Kediri,26.07201513418098,-6.07201513418098,Normal,0
28.95689945321481,1.1481243408861843,-0.3645777610244805,3.0705661632393566,Kabupaten Malang,28.8491886676015,9.1508113323985,Normal,1
29.77742346560681,-0.22671992227871773,-0.1442689856569226,2.7841714401794353,Kabupaten Lumajang,27.939432958602183,-5.939432958602183,Normal,1
30.04033809286082,-0.819991298218546,-0.040462367954879674,2.97554443700769,Kabupaten Jember,27.809054398719343,-4.8090543987193435,Normal,1
30.075396884276646,-1.1843663662829302,0.028493834434764498,3.1452601392660227,Kabupaten Banyuwangi,28.103014102385682,-8.103014102385682,Normal,1
29.558920009505222,-0.7541740956619036,-0.1524929087564817,2.6585074164702744,Kabupaten Bondowoso,27.10869389382371,1.891306106176291,Normal,1
28.820170118250868,0.15232925872681968,-0.28198319617885304,2.2696469227093052,Kabupaten Probolinggo,27.075480253092994,34.92451974690701,Hotspot (Underpredicted),1
27.436170324669547,1.8740492383462724,-0.274838653796432,2.325000869049992,Kabupaten Pasuruan,28.158144133367557,-13.158144133367557,Normal,1
26.825561369281598,2.0244259579763346,-0.06289561838535462,2.0852655650720906,Kabupaten Sidoarjo,25.900619975590686,-20.900619975590686,Coldspot (Overpredicted),1
26.444771426019688,3.1966209679762283,0.5345600956681738,3.4276372002699214,Kabupaten Mojokerto,25.661427018489565,-5.661427018489565,Normal,2
26.370430269071964,3.77534732509362,0.9709212240042815,3.995583980599055,Kabupaten Jombang,24.78306200270121,-22.78306200270121,Coldspot (Overpredicted),2
26.38208308348904,4.458903575249748,1.4838201903870942,4.738043048060393,Kabupaten Nganjuk,26.405102614854535,-6.405102614854535,Normal,0
26.426847229409322,4.95084428091179,1.9131329814947398,5.286932751748262,Kabupaten Madiun,23.734435800317097,-0.7344358003170974,Normal,0
26.45191104165461,5.133740871823392,2.085161993602388,5.498637518660033,Kabupaten Magetan,23.771687010166126,-2.7716870101661257,Normal,0
26.44576589598106,5.090513010157352,2.135024501707849,5.376131452475157,Kabupaten Ngawi,27.714991825496192,20.285008174503808,Hotspot (Underpredicted),0
26.346006948855447,4.407190319264912,1.6663532553442293,4.501729954831461,Kabupaten Bojonegoro,20.094665724422303,-2.0946657244223026,Normal,0
26.315398217808834,4.336654662278686,1.7118509975465512,4.335377789615608,Kabupaten Tuban,19.365077440857192,-2.365077440857192,Normal,0
26.26482610438969,3.264177941633492,0.8636086058373378,3.232458239642832,Kabupaten Lamongan,21.88264729107456,-5.882647291074559,Normal,2
26.374340987636238,2.338433306597196,0.2644473032710515,2.2403423660299233,Kabupaten Gresik,24.4125944169339,-11.4125944169339,Normal,2
26.871411922125535,1.3034024622703009,-0.07662417696947976,1.649875521281479,Kabupaten Bangkalan,24.017568379537206,-17.017568379537206,Normal,1
27.713311993002137,0.3550659480395406,-0.2874926565016871,1.676712292879281,Kabupaten Sampang,25.40574106387279,3.5942589361272113,Normal,1
27.996276112680913,-0.024751355403534125,-0.32584935303449614,1.7266160328768385,Kabupaten Pamekasan,27.0968989489885,14.9031010510115,Normal,1
28.379838620620863,-0.521559322064435,-0.330449056940048,1.8897195351213134,Kabupaten Sumenep,27.025512256847595,0.9744877431524053,Normal,1
26.39173208384935,4.286704881295481,1.2017131649710633,4.659290486870494,Kota Kediri,34.62003709933218,-5.62003709933218,Normal,0
26.408323046906887,4.6740275829733235,1.383238540826742,5.185824763130099,Kota Blitar,36.01503549403752,-13.01503549403752,Normal,0
27.22700728712738,2.3003386256598723,-0.3267163017384016,3.047026366668346,Kota Malang,39.94192498131682,12.058075018683184,Normal,2
28.854725068700624,0.08277843304720167,-0.2797934894253751,2.2713225184873824,Kota Probolinggo,31.50659268635958,63.49340731364042,Hotspot (Underpredicted),1
27.440467425268814,1.6775323307696457,-0.2329538861464675,2.1919074011782893,Kota Pasuruan,29.528582133175192,2.471417866824808,Normal,1
26.410641217792776,3.1787955222208693,0.5874210981018635,3.348318863964813,Kota Mojokerto,32.89117136423356,-24.891171364233557,Coldspot (Overpredicted),2
26.426611001787,4.949513498484093,1.9178437415724305,5.280852747794692,Kota Madiun,32.349939738198145,47.650060261801855,Hotspot (Underpredicted),0
26.651215273400854,1.923033663708213,0.0044368289346436995,1.8820892827975593,Kota Surabaya,30.422326567095084,-23.422326567095084,Coldspot (Overpredicted),1
26.73265945203737,2.8298317257660512,0.028722740134496938,3.3533858449796785,Kota Batu,30.819341113313293,30.180658886686707,Hotspot (Underpredicted),2
